ID,treemmer
AG_459_O09,HLII_SAG
AG_459_P20,HLII_SAG
AG_469_M13,HLII_SAG
AG_670_J21,HLII_SAG
AG_670_M15,HLII_SAG
AG_670_M18,HLII_SAG
AG_670_O19,HLI_SAG
AG_402_N08,HLII_SAG
AG_402_F05,HLII_SAG
AG_347_J05,HLII_SAG
AG_355_J17,HLII_SAG
AG_402_N17,HLII_SAG
AG_347_M08,HLII_SAG
AG_355_K03,HLII_SAG
AG_402_C22,HLII_SAG
AG_347_J06,HLII_SAG
AG_402_A04,HLII_SAG
AG_418_D13,HLII_SAG
AG_347_C10,HLII_SAG
AG_355_O19,HLII_SAG
AG_347_K10,HLII_SAG
AG_418_O02,HLII_SAG
AG_418_G18,HLII_SAG
AG_347_E23,HLII_SAG
AG_418_F16,HLII_SAG
AG_347_B08,HLII_SAG
AG_355_A18,HLII_SAG
AG_355_K10,HLII_SAG
AG_347_L13,HLII_SAG
AG_347_I04,HLII_SAG
AG_459_B06,HLII_SAG
AG_418_O03,HLII_SAG
AG_347_E03,HLII_SAG
AG_347_K22,HLII_SAG
AG_459_A02,HLII_SAG
AG_418_J19,HLII_SAG
AG_459_D04,HLII_SAG
AG_418_F08,HLII_SAG
AG_311_D23,LLI_SAG
AG_311_J23,LLI_SAG
AG_311_K21,LLI_SAG
AG_315_C22,LLI_SAG
AG_315_J23,LLI_SAG
AG_331_A01,LLI_SAG
AG_331_C07,LLI_SAG
AG_331_M18,LLI_SAG
AG_341_E15,LLI_SAG
AG_341_I22,LLI_SAG
AG_341_N05,LLI_SAG
AG_388_L21,LLI_SAG
AG_388_O02,LLI_SAG
AG_409_A10,LLI_SAG
AG_409_D14,LLI_SAG
AG_409_J03,LLI_SAG
AG_412_G19,LLI_SAG
AG_412_O03,LLI_SAG
AG_424_E20,LLI_SAG
AG_432_A07,LLI_SAG
AG_432_B15,LLI_SAG
AG_432_E11,LLI_SAG
AG_432_K17,LLI_SAG
AG_436_C14,LLI_SAG
AG_436_J02,LLI_SAG
AG_455_B05,LLI_SAG
AG_455_G08,LLI_SAG
AG_459_C18,LLI_SAG
AG_459_P07,LLI_SAG
AG_673_K22,LLI_SAG
AG_679_I23,LLI_SAG
AG_402_B19,LLI_SAG
AG_402_B05,LLI_SAG
AG_402_C09,LLI_SAG
AG_402_E17,LLI_SAG
AG_402_G19,LLI_SAG
AG_402_B03,LLI_SAG
AG_402_B10,LLI_SAG
AG_402_N09,LLI_SAG
AG_402_G06,LLI_SAG
AG_402_A08,LLI_SAG
AG_402_K04,LLI_SAG
AG_402_G08,LLI_SAG
AG_315_A03,LLI_SAG
AG_315_B03,LLI_SAG
AG_315_C08,LLI_SAG
AG_315_D17,LLI_SAG
AG_315_I14,LLI_SAG
AG_315_K21,LLI_SAG
AG_315_M16,LLI_SAG
AG_315_N18,LLI_SAG
AG_315_O03,LLI_SAG
AG_409_D06,LLII_SAG
AG_409_F19,LLII_SAG
AG_409_K04,LLII_SAG
AG_409_L21,LLII_SAG
AG_412_P08,LLII_SAG
AG_436_C13,LLII_SAG
AG_436_K22,LLII_SAG
AG_436_M02,LLII_SAG
AG_436_O09,LLII_SAG
AG_436_O17,LLII_SAG
AG_436_O20,OTHER_SAG
AG_402_G10,LLII_SAG
AG_409_A23,OTHER_SAG
AG_409_J23,OTHER_SAG
AG_432_D11,LLIII_SAG
AG_412_I05,LLIV_SAG
AG_412_I20,LLIV_SAG
AG_412_L10,LLIV_SAG
AG_432_D09,LLIV_SAG
AG_436_P23,LLIV_SAG
AG_463_F02,LLIV_SAG
AG_463_P23,LLIV_SAG
AG_409_D09,LLIII_SAG
AG_409_I11,LLVII_SAG
AG_409_P19,LLIII_SAG
AG_418_C09,HLIII/HLIV_SAG
AG_432_O20,LLVII_SAG
AG_436_N08,LLVII_SAG
AG_402_O23,HLII_SAG
AG_363_A16,LLVII_SAG
AG_363_C20,LLVII_SAG
AG_363_I04,LLVII_SAG
AG_363_K07,LLVII_SAG
AG_363_N20,LLVII_SAG
AG_363_O21,LLVII_SAG
AG_363_P01,LLVII_SAG
AG_363_P15,LLVII_SAG
AG_363_A15,LLVII_SAG
AG_363_L02,LLVII_SAG
AG_363_M17,LLVII_SAG
AG_363_P08,LLVII_SAG
AG_363_P19,LLVII_SAG
AG_363_A06,LLVII_SAG
AG_363_B04,LLVII_SAG
AG_363_J23,LLVII_SAG
AG_363_L19,LLVII_SAG
AG_363_O06,LLVII_SAG
AG_363_O15,LLVII_SAG
AG_363_O16,LLVII_SAG
AG_402_K05,LLVII_SAG
AG_436_J08,LLIV_SAG
AG_409_J19,LLVII_SAG
AG_409_N21,LLVII_SAG
AG_409_B13,LLVII_SAG
AG_409_E05,LLVII_SAG
AG_409_J11,LLVII_SAG
AG_409_L18,LLVII_SAG
AG_409_P03,LLVII_SAG
AG_463_F15,LLVII_SAG
AG_463_I04,LLVII_SAG
AG_409_D20,LLVII_SAG
AG_409_M05,LLVII_SAG
AG_463_J16,LLVII_SAG
AG_463_L06,LLVII_SAG
AG_409_A19,LLVII_SAG
AG_409_B05,LLVII_SAG
AG_409_B20,LLVII_SAG
AG_409_C21,LLVII_SAG
AG_409_G20,LLVII_SAG
AG_409_I21,LLVII_SAG
AG_409_J16,LLVII_SAG
AG_409_L14,LLVII_SAG
AG_409_O23,LLVII_SAG
AG_409_P01,LLVII_SAG
AG_463_N15,LLVII_SAG
AG_463_P14,LLVII_SAG
